,x,y,dx1966,dy1966,dx1980,dy1980,dx1990,dy1990,dx2000,dy2000,dx2010,dy2010,dx2020,dy2020
14078,126.9,38.85,0.12135957450099966,0.09012297446119533,0.13014483766899332,0.13135430258219571,0.14187306645298747,0.1694695347289965,0.14825341734999142,0.1722256737447978,0.15163110458298945,0.17936650360289974,0.15501399569599528,0.18149455806690185
14079,126.95,38.85,0.12945458287899214,0.08631837179039792,0.1409581581289956,0.12670561463379926,0.15459490452599312,0.16464275098359593,0.16113450183900113,0.16701479097159933,0.1650180864800035,0.17380399223149823,0.1684376465610029,0.17592742119740024
14080,127.0,38.85,0.13745979955899656,0.08088488516379755,0.15162720731299828,0.12147391807859975,0.1672264878360039,0.1593184854665992,0.1737127069520028,0.16140367435279757,0.17804455408099784,0.1680612068611964,0.18158453295899335,0.16994486192349711
14081,127.05,38.85,0.14533447887100692,0.07471778577849619,0.16213218314200617,0.11467631474469897,0.17989786696200838,0.15201873656059917,0.1860703060620068,0.15406053291039967,0.1907799149600038,0.16065172967410035,0.19437320559900684,0.1623111356879008
14082,127.1,38.85,0.15250690544000634,0.06899402894909912,0.17207947132000356,0.10836067928590154,0.1917298986139997,0.14511046359879742,0.197912321922999,0.1457411365566017,0.20304141783201146,0.15209938152079872,0.20664115627000967,0.15365539039729725
14083,127.15,38.85,0.15928508646999262,0.062000506635200736,0.18162301820099458,0.10009666189569799,0.20313989836400026,0.13608386755380053,0.2091698758190006,0.1367272473301,0.2147141278399971,0.1428203272188,0.21833525002499243,0.14424898745979675
14084,127.2,38.85,0.16550125657400372,0.05430523508349694,0.19050148851299298,0.09128477114679612,0.2139043548960018,0.12643249456910155,0.21976001664899059,0.1267690902589962,0.2257113166579927,0.1326334569011962,0.22931703269499337,0.13382660282749725
14085,127.25,38.85,0.17109129698600611,0.04608174584739544,0.19871130646700408,0.08147582095470085,0.2239497561109971,0.11578866187080195,0.22960698407500502,0.11583277889769761,0.23592307218399355,0.12147878419899882,0.23950571333099901,0.12257762007299533
14086,127.3,38.85,0.17597586488800232,0.037322418036097815,0.20613256359899879,0.07098378334180211,0.23310262501200896,0.10436294384079758,0.238577174607002,0.10423929359869533,0.24527516435300356,0.10953645632629616,0.24883719064500553,0.11056970283879508
14087,127.35,38.85,0.1801253365130009,0.028204073005099417,0.21267773921400135,0.05988768168609937,0.24134881175200462,0.09213945737879925,0.24663416321000398,0.09184935612909584,0.25369137391700747,0.09692763849729857,0.2572283580530126,0.09789791770109701
14088,127.4,38.85,0.18350635846299213,0.01874086272270148,0.21828066260098922,0.04828690177309625,0.24856272285099124,0.07935405851640098,0.2536665341059887,0.0789057798838968,0.2610745631989886,0.08370831637059695,0.2646001043369921,0.08461548500829963
14089,127.45,38.85,0.1860858381020023,0.00905729320769666,0.22288308457299877,0.03637793924330168,0.2546933793859978,0.06614081407339967,0.2596461922260005,0.06560635103949863,0.26737378735499817,0.06999844093660101,0.270895623868995,0.07084620003549702
14090,127.5,38.85,0.18787131224999598,-0.0007328390647032279,0.22650825541199993,0.02407832117099673,0.2597319308439978,0.05254074057010172,0.2645459704440043,0.05187438705949887,0.27256955366100044,0.0559593345938012,0.27611310192999383,0.05680078220679974
14091,127.55,38.85,0.18885571018900293,-0.01066656244940134,0.22908539548799922,0.011556485351697177,0.26365390118800747,0.0385968235191001,0.2683479995040017,0.03782887663290069,0.2766692317189978,0.041541235088196515,0.2802262357400025,0.04235040840119808
14092,127.6,38.85,0.1890383237370088,-0.020598055332804677,0.2306407276810063,-0.0010365724485978944,0.26643018658801054,0.024499602266295994,0.271029964236007,0.023692901624301044,0.27961417134800115,0.02701742510100047,0.2831958790480087,0.027768561513099144
14093,127.65,38.85,0.18842811725399145,-0.030438421848302255,0.23114100778698798,-0.013605810823101194,0.2680667577519955,0.010532055641398586,0.27257007637798836,0.009503148180002086,0.2813967592139903,0.012502378850498985,0.2850171725369961,0.013197182786797157
14094,127.7,38.85,0.1870294315040013,-0.04012859104680189,0.23060153434099107,-0.026151470433603663,0.268558384781997,-0.0035318474590013693,0.27294401681299973,-0.0046390829906002296,0.28200637368300363,-0.002088877288898061,0.2856770750109945,-0.0013986426059986456
14095,127.75,38.85,0.18488333953999359,-0.04958989405670167,0.22906236105400524,-0.038384737005500824,0.26794330520499443,-0.017400191644703966,0.27221199574898947,-0.018675280456804444,0.2814708434349882,-0.016508329475300343,0.28519251739899687,-0.015883535940901083
14096,127.8,38.85,0.18200428541800306,-0.05880907892880316,0.22652812137000922,-0.05035027679799953,0.2662225354890069,-0.03101027224099795,0.2703581967590054,-0.03232540003140372,0.2797867712020121,-0.03065623450070376,0.2835682314269974,-0.03007154440869897
14097,127.85,38.85,0.17842795426901148,-0.06772840475060349,0.22305402713200806,-0.06205452271470335,0.2634348108400104,-0.04424194215319943,0.26742646074001186,-0.045750384387801546,0.2770058696000035,-0.04451500098760164,0.28085041040301917,-0.04398638580899927
14098,127.9,38.85,0.17418921344398086,-0.0762737045672992,0.21868753080499914,-0.07324058192320138,0.2596300022910043,-0.057181029944302963,0.2634687875929842,-0.05883410075460205,0.2731669026559871,-0.05800064791390014,0.2770815364279997,-0.057582900049503394
14099,127.95,38.85,0.1693275224649966,-0.08434199025059996,0.2134589293230107,-0.08393434997070415,0.25482810703501,-0.06961354808790077,0.2584900516319948,-0.07136149679460146,0.26828315139000836,-0.07099280947870312,0.27227039040600687,-0.07066060914139882
14100,128.0,38.85,0.1638587259259907,-0.09199089162870422,0.207418964177009,-0.09408005679809861,0.24907532657800857,-0.08146180363910105,0.25254321837599036,-0.08329511477980134,0.2624116933519929,-0.08339808183200148,0.2664632050179989,-0.08308955350010194
14101,128.05,38.85,0.15781822467400275,-0.09906018771800262,0.2005980641349936,-0.10352338424740282,0.24238038438198828,-0.09265248485320399,0.24562077256300086,-0.09456178712439822,0.25552150062100054,-0.09512117120060282,0.2596374648040012,-0.09495875628179817
14102,128.1,38.85,0.15127366008701415,-0.10560452200940063,0.193070391703003,-0.11234957249950384,0.23482320228899312,-0.10305914506449909,0.23782813419299487,-0.10516069149310425,0.2477220820720163,-0.10617167020580354,0.2518995546870144,-0.10615067617780483
